Domain,FoundInCertFor,CertSubject
"aapi.wsu.edu","family.wsu.edu","CN=asis-w3.asis.wsu.edu, O=Washington State University, S=Washington, C=US"
"aapifsa.wsu.edu","family.wsu.edu","CN=asis-w3.asis.wsu.edu, O=Washington State University, S=Washington, C=US"
"aastudentcenter.wsu.edu","family.wsu.edu","CN=asis-w3.asis.wsu.edu, O=Washington State University, S=Washington, C=US"
"academicintegrity.wsu.edu","family.wsu.edu","CN=asis-w3.asis.wsu.edu, O=Washington State University, S=Washington, C=US"
"accesscenter.wsu.edu","family.wsu.edu","CN=asis-w3.asis.wsu.edu, O=Washington State University, S=Washington, C=US"
"accommodations.wsu.edu","family.wsu.edu","CN=asis-w3.asis.wsu.edu, O=Washington State University, S=Washington, C=US"
"adminsvcs.wsu.edu","family.wsu.edu","CN=asis-w3.asis.wsu.edu, O=Washington State University, S=Washington, C=US"
"admsvcs.wsu.edu","family.wsu.edu","CN=asis-w3.asis.wsu.edu, O=Washington State University, S=Washington, C=US"
"aea.wsu.edu","family.wsu.edu","CN=asis-w3.asis.wsu.edu, O=Washington State University, S=Washington, C=US"
"alive.wsu.edu","admission.wsu.edu","CN=admission.wsu.edu"
"api.asis.wsu.edu","housing.wsu.edu","CN=asis-w2.asis.wsu.edu, O=Washington State University, S=Washington, C=US"
"as.wsu.edu","family.wsu.edu","CN=asis-w3.asis.wsu.edu, O=Washington State University, S=Washington, C=US"
"asis-w2.asis.wsu.edu","housing.wsu.edu","CN=asis-w2.asis.wsu.edu, O=Washington State University, S=Washington, C=US"
"asis-w3.asis.wsu.edu","family.wsu.edu","CN=asis-w3.asis.wsu.edu, O=Washington State University, S=Washington, C=US"
"asis-web6.asis.wsu.edu","family.wsu.edu","CN=asis-w3.asis.wsu.edu, O=Washington State University, S=Washington, C=US"
"asis.helpdesk.wsu.edu","family.wsu.edu","CN=asis-w3.asis.wsu.edu, O=Washington State University, S=Washington, C=US"
"asis.wsu.edu","housing.wsu.edu","CN=asis-w2.asis.wsu.edu, O=Washington State University, S=Washington, C=US"
"asiskiosk.wsu.edu","housing.wsu.edu","CN=asis-w2.asis.wsu.edu, O=Washington State University, S=Washington, C=US"
"aswsu-global.wsu.edu","family.wsu.edu","CN=asis-w3.asis.wsu.edu, O=Washington State University, S=Washington, C=US"
"aswsu-online.wsu.edu","family.wsu.edu","CN=asis-w3.asis.wsu.edu, O=Washington State University, S=Washington, C=US"
"aswsu.wsu.edu","family.wsu.edu","CN=asis-w3.asis.wsu.edu, O=Washington State University, S=Washington, C=US"
"aware.wsu.edu","family.wsu.edu","CN=asis-w3.asis.wsu.edu, O=Washington State University, S=Washington, C=US"
"baf.wsu.edu","bursar.wsu.edu","CN=baf.wsu.edu"
"bafs.wsu.edu","bursar.wsu.edu","CN=baf.wsu.edu"
"bart.wsu.edu","family.wsu.edu","CN=asis-w3.asis.wsu.edu, O=Washington State University, S=Washington, C=US"
"basaltbooks.wsu.edu","bursar.wsu.edu","CN=baf.wsu.edu"
"bearcenter.wsu.edu","bursar.wsu.edu","CN=baf.wsu.edu"
"beasley.wsu.edu","bursar.wsu.edu","CN=baf.wsu.edu"
"bees.wsu.edu","bursar.wsu.edu","CN=baf.wsu.edu"
"bellhop.business.wsu.edu","bursar.wsu.edu","CN=baf.wsu.edu"
"biosafety.wsu.edu","bursar.wsu.edu","CN=baf.wsu.edu"
"brand.wsu.edu","bursar.wsu.edu","CN=baf.wsu.edu"
"breadlab.wsu.edu","bursar.wsu.edu","CN=baf.wsu.edu"
"brewfest.wsu.edu","bursar.wsu.edu","CN=baf.wsu.edu"
"brians.wsu.edu","bursar.wsu.edu","CN=baf.wsu.edu"
"broadband.wsu.edu","bursar.wsu.edu","CN=baf.wsu.edu"
"bsyse.wsu.edu","bursar.wsu.edu","CN=baf.wsu.edu"
"budget.wsu.edu","bursar.wsu.edu","CN=baf.wsu.edu"
"business.wsu.edu","bursar.wsu.edu","CN=baf.wsu.edu"
"cable.wsu.edu","housing.wsu.edu","CN=asis-w2.asis.wsu.edu, O=Washington State University, S=Washington, C=US"
"cabletv.wsu.edu","housing.wsu.edu","CN=asis-w2.asis.wsu.edu, O=Washington State University, S=Washington, C=US"
"camp.wsu.edu","family.wsu.edu","CN=asis-w3.asis.wsu.edu, O=Washington State University, S=Washington, C=US"
"cashe.wsu.edu","family.wsu.edu","CN=asis-w3.asis.wsu.edu, O=Washington State University, S=Washington, C=US"
"cast.osa.wsu.edu","family.wsu.edu","CN=asis-w3.asis.wsu.edu, O=Washington State University, S=Washington, C=US"
"catering.wsu.edu","housing.wsu.edu","CN=asis-w2.asis.wsu.edu, O=Washington State University, S=Washington, C=US"
"cce.wsu.edu","family.wsu.edu","CN=asis-w3.asis.wsu.edu, O=Washington State University, S=Washington, C=US"
"ccrr.wsu.edu","family.wsu.edu","CN=asis-w3.asis.wsu.edu, O=Washington State University, S=Washington, C=US"
"cdnl.tblsft.com","tableau.com","CN=www.tableausoftware.com, O=""Tableau Software, LLC"", L=Seattle, S=Washington, C=US"
"cdnlarge.tableausoftware.com","tableau.com","CN=www.tableausoftware.com, O=""Tableau Software, LLC"", L=Seattle, S=Washington, C=US"
"cdns.tblsft.com","tableau.com","CN=www.tableausoftware.com, O=""Tableau Software, LLC"", L=Seattle, S=Washington, C=US"
"cdnsmall.tableausoftware.com","tableau.com","CN=www.tableausoftware.com, O=""Tableau Software, LLC"", L=Seattle, S=Washington, C=US"
"cdnv.tblsft.com","tableau.com","CN=www.tableausoftware.com, O=""Tableau Software, LLC"", L=Seattle, S=Washington, C=US"
"cfsl.wsu.edu","family.wsu.edu","CN=asis-w3.asis.wsu.edu, O=Washington State University, S=Washington, C=US"
"chilatcenter.wsu.edu","family.wsu.edu","CN=asis-w3.asis.wsu.edu, O=Washington State University, S=Washington, C=US"
"chinook.wsu.edu","family.wsu.edu","CN=asis-w3.asis.wsu.edu, O=Washington State University, S=Washington, C=US"
"choose.wsu.edu","admission.wsu.edu","CN=admission.wsu.edu"
"cirt.wsu.edu","family.wsu.edu","CN=asis-w3.asis.wsu.edu, O=Washington State University, S=Washington, C=US"
"clasp.wsu.edu","family.wsu.edu","CN=asis-w3.asis.wsu.edu, O=Washington State University, S=Washington, C=US"
"clfsa.wsu.edu","family.wsu.edu","CN=asis-w3.asis.wsu.edu, O=Washington State University, S=Washington, C=US"
"cms1.asis.wsu.edu","family.wsu.edu","CN=asis-w3.asis.wsu.edu, O=Washington State University, S=Washington, C=US"
"cms2.asis.wsu.edu","family.wsu.edu","CN=asis-w3.asis.wsu.edu, O=Washington State University, S=Washington, C=US"
"cms3.asis.wsu.edu","family.wsu.edu","CN=asis-w3.asis.wsu.edu, O=Washington State University, S=Washington, C=US"
"cms4.asis.wsu.edu","family.wsu.edu","CN=asis-w3.asis.wsu.edu, O=Washington State University, S=Washington, C=US"
"cms8.asis.wsu.edu","family.wsu.edu","CN=asis-w3.asis.wsu.edu, O=Washington State University, S=Washington, C=US"
"cms9.asis.wsu.edu","family.wsu.edu","CN=asis-w3.asis.wsu.edu, O=Washington State University, S=Washington, C=US"
"cmsdev.hrs.wsu.edu","diversityeducation.wsu.edu","CN=hrs.wsu.edu, O=Washington State University, S=Washington, C=US"
"coalition.wsu.edu","family.wsu.edu","CN=asis-w3.asis.wsu.edu, O=Washington State University, S=Washington, C=US"
"cobblestone.fais.wsu.edu","financialaid.wsu.edu","CN=faa.wsu.edu"
"collegebound.wsu.edu","family.wsu.edu","CN=asis-w3.asis.wsu.edu, O=Washington State University, S=Washington, C=US"
"communities.wsu.edu","family.wsu.edu","CN=asis-w3.asis.wsu.edu, O=Washington State University, S=Washington, C=US"
"communitystandards.wsu.edu","family.wsu.edu","CN=asis-w3.asis.wsu.edu, O=Washington State University, S=Washington, C=US"
"conduct.wsu.edu","family.wsu.edu","CN=asis-w3.asis.wsu.edu, O=Washington State University, S=Washington, C=US"
"conductoffice.wsu.edu","family.wsu.edu","CN=asis-w3.asis.wsu.edu, O=Washington State University, S=Washington, C=US"
"cougarcard.wsu.edu","housing.wsu.edu","CN=asis-w2.asis.wsu.edu, O=Washington State University, S=Washington, C=US"
"cougarcash.wsu.edu","housing.wsu.edu","CN=asis-w2.asis.wsu.edu, O=Washington State University, S=Washington, C=US"
"cougarhealth.wsu.edu","family.wsu.edu","CN=asis-w3.asis.wsu.edu, O=Washington State University, S=Washington, C=US"
"cougarsaferides.wsu.edu","family.wsu.edu","CN=asis-w3.asis.wsu.edu, O=Washington State University, S=Washington, C=US"
"cougexperience.studentaffairs.wsu.edu","family.wsu.edu","CN=asis-w3.asis.wsu.edu, O=Washington State University, S=Washington, C=US"
"cougscancelcovid.wsu.edu","family.wsu.edu","CN=asis-w3.asis.wsu.edu, O=Washington State University, S=Washington, C=US"
"counsel.wsu.edu","family.wsu.edu","CN=asis-w3.asis.wsu.edu, O=Washington State University, S=Washington, C=US"
"culturalcenter.wsu.edu","family.wsu.edu","CN=asis-w3.asis.wsu.edu, O=Washington State University, S=Washington, C=US"
"culturalhouses.wsu.edu","family.wsu.edu","CN=asis-w3.asis.wsu.edu, O=Washington State University, S=Washington, C=US"
"dadsweekend.wsu.edu","family.wsu.edu","CN=asis-w3.asis.wsu.edu, O=Washington State University, S=Washington, C=US"
"deanofstudents.wsu.edu","family.wsu.edu","CN=asis-w3.asis.wsu.edu, O=Washington State University, S=Washington, C=US"
"dining.wsu.edu","housing.wsu.edu","CN=asis-w2.asis.wsu.edu, O=Washington State University, S=Washington, C=US"
"diningat.wsu.edu","housing.wsu.edu","CN=asis-w2.asis.wsu.edu, O=Washington State University, S=Washington, C=US"
"diversity.wsu.edu","family.wsu.edu","CN=asis-w3.asis.wsu.edu, O=Washington State University, S=Washington, C=US"
"downloads.tableau.com","tableau.com","CN=www.tableausoftware.com, O=""Tableau Software, LLC"", L=Seattle, S=Washington, C=US"
"downloads.tableausoftware.com","tableau.com","CN=www.tableausoftware.com, O=""Tableau Software, LLC"", L=Seattle, S=Washington, C=US"
"drc.wsu.edu","family.wsu.edu","CN=asis-w3.asis.wsu.edu, O=Washington State University, S=Washington, C=US"
"dreamers.wsu.edu","family.wsu.edu","CN=asis-w3.asis.wsu.edu, O=Washington State University, S=Washington, C=US"
"dsae.wsu.edu","family.wsu.edu","CN=asis-w3.asis.wsu.edu, O=Washington State University, S=Washington, C=US"
"eatingat.wsu.edu","housing.wsu.edu","CN=asis-w2.asis.wsu.edu, O=Washington State University, S=Washington, C=US"
"employee-recognition.wsu.edu","diversityeducation.wsu.edu","CN=hrs.wsu.edu, O=Washington State University, S=Washington, C=US"
"er.hrs.wsu.edu","diversityeducation.wsu.edu","CN=hrs.wsu.edu, O=Washington State University, S=Washington, C=US"
"esa.wsu.edu","family.wsu.edu","CN=asis-w3.asis.wsu.edu, O=Washington State University, S=Washington, C=US"
"espanol.camp.wsu.edu","family.wsu.edu","CN=asis-w3.asis.wsu.edu, O=Washington State University, S=Washington, C=US"
"espanol.wsu.edu","family.wsu.edu","CN=asis-w3.asis.wsu.edu, O=Washington State University, S=Washington, C=US"
"event.bees.wsu.edu","bursar.wsu.edu","CN=baf.wsu.edu"
"events.bees.wsu.edu","bursar.wsu.edu","CN=baf.wsu.edu"
"explore.wsu.edu","admission.wsu.edu","CN=admission.wsu.edu"
"faa.wsu.edu","financialaid.wsu.edu","CN=faa.wsu.edu"
"facilities.wsu.edu","financialaid.wsu.edu","CN=faa.wsu.edu"
"facsen.wsu.edu","financialaid.wsu.edu","CN=faa.wsu.edu"
"faculty.business.wsu.edu","bursar.wsu.edu","CN=baf.wsu.edu"
"faculty.wsu.edu","financialaid.wsu.edu","CN=faa.wsu.edu"
"fais.wsu.edu","financialaid.wsu.edu","CN=faa.wsu.edu"
"fermentation.wsu.edu","financialaid.wsu.edu","CN=faa.wsu.edu"
"fewstorage.wsu.edu","financialaid.wsu.edu","CN=faa.wsu.edu"
"fieldtrips.wsu.edu","financialaid.wsu.edu","CN=faa.wsu.edu"
"files.ba.wsu.edu","diversityeducation.wsu.edu","CN=hrs.wsu.edu, O=Washington State University, S=Washington, C=US"
"files.hrs.wsu.edu","diversityeducation.wsu.edu","CN=hrs.wsu.edu, O=Washington State University, S=Washington, C=US"
"financialliteracy.wsu.edu","financialaid.wsu.edu","CN=faa.wsu.edu"
"finearts.wsu.edu","financialaid.wsu.edu","CN=faa.wsu.edu"
"first.wsu.edu","family.wsu.edu","CN=asis-w3.asis.wsu.edu, O=Washington State University, S=Washington, C=US"
"firstabroad.wsu.edu","family.wsu.edu","CN=asis-w3.asis.wsu.edu, O=Washington State University, S=Washington, C=US"
"firstscholars.wsu.edu","family.wsu.edu","CN=asis-w3.asis.wsu.edu, O=Washington State University, S=Washington, C=US"
"firstyear.wsu.edu","financialaid.wsu.edu","CN=faa.wsu.edu"
"fmic.wsu.edu","financialaid.wsu.edu","CN=faa.wsu.edu"
"foley.wsu.edu","financialaid.wsu.edu","CN=faa.wsu.edu"
"foodprocessing.wsu.edu","financialaid.wsu.edu","CN=faa.wsu.edu"
"foodsystems.wsu.edu","financialaid.wsu.edu","CN=faa.wsu.edu"
"fos.wsu.edu","financialaid.wsu.edu","CN=faa.wsu.edu"
"foundation.wsu.edu","financialaid.wsu.edu","CN=faa.wsu.edu"
"framenetworks.wsu.edu","financialaid.wsu.edu","CN=faa.wsu.edu"
"freespeech.wsu.edu","family.wsu.edu","CN=asis-w3.asis.wsu.edu, O=Washington State University, S=Washington, C=US"
"getinvolved.wsu.edu","family.wsu.edu","CN=asis-w3.asis.wsu.edu, O=Washington State University, S=Washington, C=US"
"gogreek.wsu.edu","family.wsu.edu","CN=asis-w3.asis.wsu.edu, O=Washington State University, S=Washington, C=US"
"gpsa.wsu.edu","family.wsu.edu","CN=asis-w3.asis.wsu.edu, O=Washington State University, S=Washington, C=US"
"handbook.wsu.edu","family.wsu.edu","CN=asis-w3.asis.wsu.edu, O=Washington State University, S=Washington, C=US"
"healthexpo.wsu.edu","family.wsu.edu","CN=asis-w3.asis.wsu.edu, O=Washington State University, S=Washington, C=US"
"helpdesk.asis.wsu.edu","family.wsu.edu","CN=asis-w3.asis.wsu.edu, O=Washington State University, S=Washington, C=US"
"hep.wsu.edu","family.wsu.edu","CN=asis-w3.asis.wsu.edu, O=Washington State University, S=Washington, C=US"
"hillside.wsu.edu","housing.wsu.edu","CN=asis-w2.asis.wsu.edu, O=Washington State University, S=Washington, C=US"
"hotel.wsu.edu","family.wsu.edu","CN=asis-w3.asis.wsu.edu, O=Washington State University, S=Washington, C=US"
"housingat.wsu.edu","housing.wsu.edu","CN=asis-w2.asis.wsu.edu, O=Washington State University, S=Washington, C=US"
"housingcms.wsu.edu","housing.wsu.edu","CN=asis-w2.asis.wsu.edu, O=Washington State University, S=Washington, C=US"
"hrscms.hrs.wsu.edu","diversityeducation.wsu.edu","CN=hrs.wsu.edu, O=Washington State University, S=Washington, C=US"
"hrsdev.hrs.wsu.edu","diversityeducation.wsu.edu","CN=hrs.wsu.edu, O=Washington State University, S=Washington, C=US"
"hws.wsu.edu","family.wsu.edu","CN=asis-w3.asis.wsu.edu, O=Washington State University, S=Washington, C=US"
"iacuc.wsu.edu","its.wsu.edu","CN=iacuc.wsu.edu"
"ibc.wsu.edu","its.wsu.edu","CN=iacuc.wsu.edu"
"idcl.wsu.edu","its.wsu.edu","CN=iacuc.wsu.edu"
"idx.wsu.edu","its.wsu.edu","CN=iacuc.wsu.edu"
"ihr.hrs.wsu.edu","diversityeducation.wsu.edu","CN=hrs.wsu.edu, O=Washington State University, S=Washington, C=US"
"imageshop.wsu.edu","family.wsu.edu","CN=asis-w3.asis.wsu.edu, O=Washington State University, S=Washington, C=US"
"imagineu.wsu.edu","family.wsu.edu","CN=asis-w3.asis.wsu.edu, O=Washington State University, S=Washington, C=US"
"innovators.wsu.edu","its.wsu.edu","CN=iacuc.wsu.edu"
"internalaudit.wsu.edu","its.wsu.edu","CN=iacuc.wsu.edu"
"intranet.hrs.wsu.edu","diversityeducation.wsu.edu","CN=hrs.wsu.edu, O=Washington State University, S=Washington, C=US"
"involve.wsu.edu","family.wsu.edu","CN=asis-w3.asis.wsu.edu, O=Washington State University, S=Washington, C=US"
"ip.wsu.edu","its.wsu.edu","CN=iacuc.wsu.edu"
"ipm.wsu.edu","its.wsu.edu","CN=iacuc.wsu.edu"
"ips.wsu.edu","its.wsu.edu","CN=iacuc.wsu.edu"
"ir.wsu.edu","its.wsu.edu","CN=iacuc.wsu.edu"
"irb.wsu.edu","its.wsu.edu","CN=iacuc.wsu.edu"
"ireach.wsu.edu","its.wsu.edu","CN=iacuc.wsu.edu"
"irrigatedag.wsu.edu","its.wsu.edu","CN=iacuc.wsu.edu"
"itbrevitalization.wsu.edu","its.wsu.edu","CN=iacuc.wsu.edu"
"itgovernance.wsu.edu","its.wsu.edu","CN=iacuc.wsu.edu"
"labienvenida.wsu.edu","family.wsu.edu","CN=asis-w3.asis.wsu.edu, O=Washington State University, S=Washington, C=US"
"lead.wsu.edu","family.wsu.edu","CN=asis-w3.asis.wsu.edu, O=Washington State University, S=Washington, C=US"
"lgbt.wsu.edu","family.wsu.edu","CN=asis-w3.asis.wsu.edu, O=Washington State University, S=Washington, C=US"
"livingat.wsu.edu","housing.wsu.edu","CN=asis-w2.asis.wsu.edu, O=Washington State University, S=Washington, C=US"
"mgc.gogreek.wsu.edu","family.wsu.edu","CN=asis-w3.asis.wsu.edu, O=Washington State University, S=Washington, C=US"
"mlk.wsu.edu","family.wsu.edu","CN=asis-w3.asis.wsu.edu, O=Washington State University, S=Washington, C=US"
"movein.wsu.edu","housing.wsu.edu","CN=asis-w2.asis.wsu.edu, O=Washington State University, S=Washington, C=US"
"msmp.wsu.edu","family.wsu.edu","CN=asis-w3.asis.wsu.edu, O=Washington State University, S=Washington, C=US"
"mss.wsu.edu","family.wsu.edu","CN=asis-w3.asis.wsu.edu, O=Washington State University, S=Washington, C=US"
"mynutrition.wsu.edu","housing.wsu.edu","CN=asis-w2.asis.wsu.edu, O=Washington State University, S=Washington, C=US"
"nook.wsu.edu","family.wsu.edu","CN=asis-w3.asis.wsu.edu, O=Washington State University, S=Washington, C=US"
"northside.wsu.edu","housing.wsu.edu","CN=asis-w2.asis.wsu.edu, O=Washington State University, S=Washington, C=US"
"nphc.wsu.edu","family.wsu.edu","CN=asis-w3.asis.wsu.edu, O=Washington State University, S=Washington, C=US"
"nwlgbtleadership.wsu.edu","family.wsu.edu","CN=asis-w3.asis.wsu.edu, O=Washington State University, S=Washington, C=US"
"offcampusliving.wsu.edu","family.wsu.edu","CN=asis-w3.asis.wsu.edu, O=Washington State University, S=Washington, C=US"
"osa.wsu.edu","family.wsu.edu","CN=asis-w3.asis.wsu.edu, O=Washington State University, S=Washington, C=US"
"osae.wsu.edu","family.wsu.edu","CN=asis-w3.asis.wsu.edu, O=Washington State University, S=Washington, C=US"
"payme.as.wsu.edu","family.wsu.edu","CN=asis-w3.asis.wsu.edu, O=Washington State University, S=Washington, C=US"
"performance.wsu.edu","family.wsu.edu","CN=asis-w3.asis.wsu.edu, O=Washington State University, S=Washington, C=US"
"platform.zeemee.com","zeemee.com","CN=zeemee.com"
"register.tableau.com","tableau.com","CN=www.tableausoftware.com, O=""Tableau Software, LLC"", L=Seattle, S=Washington, C=US"
"reslife.wsu.edu","housing.wsu.edu","CN=asis-w2.asis.wsu.edu, O=Washington State University, S=Washington, C=US"
"rta.wsu.edu","housing.wsu.edu","CN=asis-w2.asis.wsu.edu, O=Washington State University, S=Washington, C=US"
"saed.wsu.edu","family.wsu.edu","CN=asis-w3.asis.wsu.edu, O=Washington State University, S=Washington, C=US"
"saedem.wsu.edu","family.wsu.edu","CN=asis-w3.asis.wsu.edu, O=Washington State University, S=Washington, C=US"
"saefinanceadmin.wsu.edu","family.wsu.edu","CN=asis-w3.asis.wsu.edu, O=Washington State University, S=Washington, C=US"
"saem.wsu.edu","family.wsu.edu","CN=asis-w3.asis.wsu.edu, O=Washington State University, S=Washington, C=US"
"safinanceadmin.wsu.edu","family.wsu.edu","CN=asis-w3.asis.wsu.edu, O=Washington State University, S=Washington, C=US"
"salt.wsu.edu","family.wsu.edu","CN=asis-w3.asis.wsu.edu, O=Washington State University, S=Washington, C=US"
"scholarships.ngwebsolutions.com","wsu.scholarships.ngwebsolutions.com","CN=*.scholarships.ngwebsolutions.com"
"seb.wsu.edu","family.wsu.edu","CN=asis-w3.asis.wsu.edu, O=Washington State University, S=Washington, C=US"
"secure.asis.wsu.edu","housing.wsu.edu","CN=asis-w2.asis.wsu.edu, O=Washington State University, S=Washington, C=US"
